0: 
1: 23,24
2: 24,9414,9372,9528,3
3: 9372,54,24,2,52,53
9378: 9234,9456,9277,9235,9292,9640
5: 6,9383,9295,27
6: 7,9326,9383,5,27,29
7: 6,9326,8,29,30
8: 9,7,30,31
9: 8,31,10,9468
10: 9439,9468,9,60,31
8276: 8275,8201
8460: 8388,8389,8459,8530,8529
10012: 
14: 9445,64,9322,9611,65
9562: 9503,5444,5344,5543,9249,9429
16: 141,103,9433,68,9502,38
17: 18,39,40
18: 17
19: 20,9275,9626,48
20: 9275,9598,19,48,49
10011: 9932,10036
22: 9547,23,50,51
23: 1,24,22,51,52
24: 1,23,9414,2,52,3
9962: 9879
8177: 8101,8100,8178,8252,9347
27: 9295,56,5,6,57,29
7848: 7847,7765,7929,7849
29: 57,58,30,6,7,27
30: 58,29,7,8,59,31
31: 59,60,8,9,30,10
32: 62,33,60,95
33: 62,32,9439,9527,34
34: 63,35,9527,9428,62,33
35: 98,63,34,9428,64,9611
9294: 9503,9454,9523,5344
37: 181,66,9322,9403,100,65
38: 9502,9403,141,16,66
39: 68,17,9506,40
40: 42,41,9515,17,39
41: 42,40,68,103,104
42: 105,41,40,9272,9515,104
43: 107,72,105,9272,106
44: 73,9345,72,9416
7706: 7705,7707,7788,7789
46: 121,81,9369,9626,47,80
47: 48,49,84,121,46
48: 49,47,20,19,9626
49: 48,47,20,50,84
50: 51,84,85,22,49
51: 50,85,22,23,52,86
52: 86,53,23,24,51,3
53: 52,86,54,3,87,126
54: 9372,3,53,126,127,89
8540: 8475,8607,8474,8539
56: 9295,27,9247,57,91
57: 58,29,56,27,91,92
58: 57,29,30,59,93,92
59: 60,31,58,30,93,94
60: 59,31,10,94,32
9945: 9826
62: 96,32,33,63,34,135
63: 98,35,34,62,135,136
64: 14,98,35,137,99,65
65: 99,100,64,14,9322,37
66: 228,181,37,38,9403
8150: 8226,8071,8072,8151,8227
68: 39,9433,41,103,16
9855: 
8914: 8915,8861,8860,8966
7786: 7787,7867,7868,7703,7704,7785
72: 107,43,9416,73,44
73: 109,9345,44,107,72,147
8144: 8143,8220,8221,8066,8065,8145
75: 76,110,109,9345
76: 75,110,9440,9969
77: 78,115,9338
78: 116,115,77,117,9461
79: 117,9461,9393,9323,161,118
80: 119,9323,161,9369,81,46
81: 121,163,46,119,80
9181: 9070,9112,9069,9111,9207,9208
9765: 
84: 50,85,49,47,123
85: 50,51,84,86,123,124
86: 52,53,51,85,124,87
87: 168,167,126,86,53,124
8128: 8205,8050,8049
89: 127,9372,54,9247,128
8523: 8591,8524,8453,8454,8522
91: 56,57,130,92
92: 130,131,93,57,58,91
93: 131,92,58,59,132,94
94: 132,95,59,60,93
95: 94,96,32,133
96: 62,95,133,135,134
8039: 7959,8038
98: 63,35,64,136,137
99: 225,100,180,65,64,137
100: 99,180,65,181,277,37
9738: 9885,9754
7979: 8059,8058,7899,7898
103: 141,16,68,41,142,104
104: 142,143,105,42,41,103
105: 42,9272,43,104,106,144
106: 145,144,105,107,43,146
107: 72,43,73,106,147,146
8637: 8570,8636,8638,8700,8701
109: 73,9345,75,110,147,148
110: 75,76,109,148,111
111: 150,9339,110,9440,148,149
112: 193,150,9339,9553,9259
113: 9803,9446,155,156
114: 9446,115,157,156
115: 116,78,77,114,9338
116: 78,115,157,159,158
117: 9461,79,78,159,205,118
118: 205,206,117,79,161,207
119: 80,161,81,207,208
8792: 8731,9505,8729,8730,8791,9395
121: 163,81,46,47
8012: 8013,7931,7932,8091
123: 124,166,84,85
124: 123,166,85,86,167,87
8414: 8342,8343,8413,8483
126: 168,87,53,54,127,169
127: 170,169,89,54,126,128
128: 170,127,89
129: 
130: 131,92,91,172,173
131: 130,93,92,132,174,173
132: 94,131,93,174,175
133: 176,175,95,96,134
134: 135,272,178,96,133,176
135: 134,178,96,62,63,136
136: 224,137,98,63,135,178
137: 136,224,98,64,225,99
9467: 9207,9478,9148,9290,9477
9974: 
8946: 8947,8893,8945,8998,8999
141: 103,16,38,142,184
142: 143,104,141,103,184,185
143: 142,104,187,185
144: 106,105
145: 187,106,146,233,234
146: 189,147,107,145,106,234
147: 189,146,148,107,73,109
148: 189,147,149,109,110,111
149: 189,148,111,150,191,192
150: 111,9339,149,192,193,112
8267: 8192,8193,8268
8102: 8178,8179,8023,8101,8103
8882: 8883,8826,8881,8988
154: 155,9427,9642,201,251
155: 154,9642,113,156,201
