0: 513,497,401
511: 36,37,518,50,66
2: 409,3,10,367,21,22
3: 409,379,2,4,22,23
4: 422,5,13,379,3,23
5: 422,4,368,13,6,25
6: 15,502,5,368,25,14
7: 418,389,513,8,9,18,32
8: 9,7,32
9: 513,8,497,478,7,32,524
10: 327,367,20,478,2,21,558
532: 143,503,162,180,161,179
536: 499,209,470,191,227,210
13: 4,5,23,38,24,25
14: 500,26,16,15,6,25
15: 442,6,502,431,14,16
16: 26,14,15,431,28,514
487: 138,486,140,120,141,159
18: 61,348,7,418,32,525
19: 32,525,484,524,34,47
20: 10,478,524,558
21: 35,558,10,2,36,22
22: 36,518,23,3,2,21
23: 518,22,3,4,13,24
24: 38,545,13,37,518,23
25: 38,5,13,6,500,14
26: 500,40,54,14,16,28
530: 517,251,235,252,236,282
28: 477,514,41,40,26,16
543: 480,512,233,231,230
30: 61,348,398,59,552,60
527: 537,320,185,336,184
32: 525,19,524,7,8,9,18
539: 64,65,50,484,49,534
34: 35,49,558,484,19,524
35: 34,49,21,558,36,50
36: 518,511,22,35,21,50
37: 518,511,545,24,52
38: 545,519,24,25,13,500,53
519: 38,545,500,53
40: 54,26,28,41,70,548
41: 28,42,477,40,548,56
42: 477,41,43,428,56,72
43: 459,428,444,397,42,477
521: 189,190,171,172,208
545: 38,519,24,37,52,53
498: 287,299,551,300,306,308
47: 62,63,534,525,484,19
528: 504,309,473,438,301,361
49: 34,35,484,65,539,50
50: 65,539,35,49,36,511,66
515: 189,190,187,170,223,207
52: 68,84,53,37,545
53: 68,52,38,545,519,500,54,69
54: 500,40,26,53,69,70
492: 79,116,546,506,96,78,115
56: 548,485,88,42,41,72
510: 233,215,216,517,251,250
58: 73,90,72,428,424,387
59: 332,398,30,426,552
60: 471,77,30,61,76,552
61: 30,18,348,525,60,471,62
62: 63,47,61,525,471,506
63: 62,47,516,534,506,79
64: 65,539,82,516,534,80,81
65: 64,539,50,82,49,66
66: 83,557,511,65,50,82
513: 497,9,0,450,7,389
68: 84,85,52,53,69,102
69: 70,86,54,68,85,53
70: 69,86,71,40,54,548
71: 70,86,548,485,123,105
72: 73,58,42,428,88,56
73: 58,90,72,88,89,549
523: 380,461,109,419,128,146
75: 426,76,433,93,94,349
76: 426,75,552,60,77,94
77: 60,471,76,94,95,78
78: 96,95,471,77,506,492
79: 492,546,506,63,516
80: 98,81,516,64,97,546
81: 98,80,64,82,99
82: 64,65,66,557,81,99
83: 66,557,84,100,101
84: 68,52,83,101,102
85: 68,69,86,121,102,104
86: 69,70,71,85,104,123
546: 492,79,97,116,516,80
88: 485,56,73,72,106,89
89: 126,549,88,73,106,491
90: 73,58,387,549,91
91: 109,419,90,435,108,549
92: 466,110,93,349,111
93: 113,94,349,75,92
94: 93,113,75,76,77,95
95: 96,78,77,113,94
96: 95,78,492,114,115
97: 116,546,98,80,556,526
98: 80,117,81,556,97,99,475
99: 100,118,82,557,98,117,81
100: 101,118,495,99,83,557
101: 100,495,83,84,542,102
102: 121,542,68,84,85,101
491: 106,125,89,126,162,144
104: 468,123,85,86,121
105: 106,125,71,485,123,124
106: 105,125,491,485,88,89
552: 426,76,59,30,60
108: 126,549,109,91,127,145
109: 91,419,127,108,523,128
110: 466,371,92,357,334,349
111: 130,472,466,92,129
525: 32,19,18,61,62,47
113: 93,94,95,479,130,131
114: 132,150,483,131,115,96,479
115: 483,114,96,492,116,133
116: 492,97,546,115,133,526
117: 98,118,99,475,137
118: 100,495,99,117,137,119
119: 137,489,118,495,138,486
120: 121,542,122,487,486,141
121: 120,542,102,85,104
122: 468,120,141
123: 468,104,124,86,71,105
124: 468,123,105,125,142,143
125: 105,106,491,124,143,162
126: 89,108,549,491,144,145
127: 109,108,145,164,474,128
128: 345,474,109,127,523,146
129: 359,494,466,445,111,472
130: 148,111,472,113,131
131: 132,150,114,113,479,130,148
132: 131,114,479
133: 526,522,116,483,115
134: 475,136,154,554,556,526
516: 63,534,64,79,546,80
136: 475,154,134,137,155,173
137: 489,155,119,117,118,475,136
138: 487,486,140,489,119,547
540: 237,236,356,384,220
140: 138,487,547,159,176,488,158
141: 159,142,120,468,122,487
142: 161,141,468,124,143
143: 532,162,124,125,161,142
144: 145,491,126,503,162
145: 144,164,108,126,127
146: 412,461,523,345,128
533: 293,305,279,280,355,294
148: 130,472,150,131,167,149
149: 509,169,148,150,186
150: 483,131,114,148,509,149
151: 483,509,152
152: 550,190,151,483,522,509,170
524: 32,19,9,478,20,34
154: 136,134,554,171,172,173
155: 137,489,136,173,174,157
548: 485,56,40,41,70,71
157: 174,175,195,489,155,547
158: 176,547,140
159: 141,487,140,488,490
160: 197,198,490,161,179
161: 142,532,143,160,179
162: 532,143,503,125,491,144
163: 164,183,181
164: 145,163,183,127,474,453
165: 345,474,453
494: 129,359,472,537,320,167
167: 541,494,148,472,537
556: 98,97,526,475,134
169: 509,188,149,187,170,205,186
170: 509,169,188,187,190,515,152
171: 550,521,522,154,554,172
172: 470,191,173,154,521,171
173: 172,191,136,154,155,174
174: 193,157,155,191,173,210
175: 157,195
176: 177,488,467,158,547,140,195
177: 176,196,488,467
509: 169,149,170,151,150,483,152
179: 199,161,532,180,198,160
180: 532,503,181,179,199,200
181: 163,183,503,180,200,201
531: 429,392,339,458,442,502
183: 163,164,181,453,538,201
184: 337,336,314,527,185,373
185: 541,204,537,527,184,373
186: 541,204,169,149,205
187: 169,188,170,205,515,222,223
188: 169,187,170
189: 190,515,521
190: 550,189,515,521,152,170
191: 172,470,173,174,536,210
486: 138,487,495,120,542,119
193: 174,195,211,212,210
489: 137,155,119,547,138,157
195: 175,193,157,176,467,212
196: 177,488,467,197,490,512,215
197: 198,160,490,196,215,216
198: 197,160,179,559,217,199,216
199: 179,559,218,200,180,198
200: 559,199,218,180,181,220,201
201: 384,220,538,183,181,200
202: 456,443,384,538,393
542: 121,120,102,101,495,486
204: 541,185,186,205,221,373
205: 169,187,186,204,221,222,555
553: 250,249,265,233,231
207: 208,225,240,515,223
208: 207,521,470,209
209: 499,536,493,208,225,242
210: 211,227,191,174,193,536
211: 212,227,229,535,210,193
212: 211,535,193,195,467,480
514: 28,477,431,444,16
549: 89,108,126,73,90,91
215: 233,510,216,196,197,512
216: 215,510,197,198,217,517
217: 559,218,198,216,517,235
218: 559,217,199,200,220,235,236
488: 176,177,196,467,140,159,490
220: 384,201,218,200,540
221: 388,373,204,205,555
222: 239,223,555,187,205
223: 222,239,187,515,207,240
541: 185,186,204,167,537
225: 207,240,209,242
534: 63,47,516,484,64,539
227: 211,229,210,499,536,228
228: 243,244,499,227,229,245,275
229: 211,227,535,228,245,476
230: 248,231,263,535,543,476
231: 248,230,543,233,249,553
551: 498,259,275,300,529
233: 215,510,512,543,231,553
547: 489,138,140,157,176,158
235: 517,530,217,218,236
236: 540,237,218,530,235,252
237: 540,236,356,252,268,324
238: 254,255,399,388,239,555
239: 222,223,555,544,255,238
240: 207,225,223,544
544: 255,239,240,256,257
242: 257,225,493,209,243,258
243: 244,259,258,228,499,242
244: 243,259,228
245: 476,261,275,229,228
497: 513,9,478,0,316,327
490: 197,160,159,196,488
248: 231,263,230,249,278,264
249: 265,553,248,231,264,279
250: 265,553,510,251,266
251: 517,530,510,250,266,282
252: 530,237,236,365,282,268
535: 211,212,229,480,476,230
254: 255,238,399
255: 254,544,270,269,238,399,239,256
256: 257,271,544,255,270,284
257: 256,242,544,258,272
258: 243,259,242,257,272
259: 243,244,258,275,274,551
555: 222,239,205,388,221,238
261: 245,476,277,275,263,276,529
522: 133,526,554,550,171,152
263: 248,230,476,277,261,276,278
264: 278,291,481,248,249,293,292,279
265: 250,249,280,553,266,279
266: 496,282,251,250,280,265
499: 536,493,209,227,243,228
268: 434,324,451,252,237,365
269: 255,270,399
270: 255,269,256,350,383,284
271: 256,272,284
272: 286,257,271,258,287
493: 499,209,242
274: 287,259
275: 245,261,259,228,551,529
276: 529,289,261,263,278,290
277: 476,261,263
278: 290,291,481,264,248,263,276
279: 293,533,249,280,265,264
280: 265,496,266,279,533,294
281: 344,294,496,365,451,390
282: 496,266,365,251,530,252
529: 300,276,289,261,275,551
284: 286,285,270,256,271,394,383
285: 286,284
286: 272,285,330,284,287,296
287: 498,274,286,272,296,306
537: 320,527,494,541,185,167
289: 300,276,529,290,309,473
290: 278,291,276,289,473,302
291: 278,290,481,303,264,293,292,302,304
292: 293,291,264
293: 305,292,279,533,291,264,304
294: 344,355,281,280,496,533
550: 190,171,152,522
296: 358,286,330,287,306,404
495: 100,101,118,542,119,486
538: 384,201,183,453,202
299: 498,306,308
300: 529,289,498,551,308,309
301: 311,310,302,528,473,438
302: 311,301,290,291,473
303: 291,304
304: 312,410,291,303,293,305,311
305: 293,533,355,410,304,460
306: 308,508,404,498,287,299,296
554: 154,134,526,522,171
308: 306,508,498,299,300,504,309
309: 504,528,473,300,289,308
310: 311,301,438,421,454
311: 310,301,302,312,304
312: 410,304,311,423
313: 381,335,402,459,424
314: 337,184,388,373,331,411
315: 363,391,419,380
316: 362,401,414,497,327
317: 347,454
318: 322,441
319: 412,345,456,436
320: 537,527,359,494
321: 341,344,390,430,340
322: 457,339,351,318
323: 407,413,333,326,409,379
324: 434,268,237,356,440,378
325: 417
326: 385,414,323,407,367,409
327: 10,367,316,414,497,478
