5569: 
9886: 9702,9836,9832,8479,9694
6467: 6371
3: 23,51,87,53
9378: 9456,9277,9237,9640,9545,9292
5: 
4797: 4697
6185: 6283,6282
8579: 8369,8770,8513,8709,8710
7029: 7119
10: 9851,31,60
8276: 8274,8686,8046,8490,8201
8460: 8387,8389,8084,8597,8730
10012: 9880,10031,9714,10009
7073: 6982,6983,7164
9562: 5333,5335,5343,5341,9429,9249
16: 9850,141
6262: 6358,6164,6165,6359
18: 
19: 
8158: 8234,7999,8080,8236,8526,8309
10011: 9891,9932,3441,3540,10036
22: 23,51,50
23: 3,51,22
5930: 5931,5633,6028,5632,5929,5829
9962: 430,10026,9879,9946,9663,754
5277: 5278,5177,5176
27: 56
7702: 7948,7865,7949,7787,7867
6147: 6051,6242,6244,6148,6246
30: 31,60
31: 30,10,9851,60
7801: 7719,7962,8042
33: 62,95,133
34: 135,178
7009: 7010,6917,7008,6916,7099
9294: 9703,9523,9454,9503,9480,10025
37: 9322,502,9403,181,980,100
38: 228,185
39: 40
40: 39
6085: 6084,6086,6183
42: 68,9732
7085: 9377,9362,6342,6628,6534
5740: 5640,5641
9265: 5948,9306,6140,6336,6139,9305
46: 81,9547,9275,163
8878: 9120,8701,9079,8636,8820,8984
6884: 6598,6695,6978,7070,7160
7345: 7075,7431,7344,7080
50: 51,22
51: 3,23,22,50,87
7148: 7057,7237,7238,7147,7149
53: 126,3,87,123
9645: 9709,9717,9813,9335,1651
8540: 8338,8406
56: 27
57: 91
6929: 
9001: 9091,9285,9092,9170,9049
60: 30,31,10
9945: 77,9826
62: 33,133,134,135
9914: 10016,9906,9341,9685,9896,9847
64: 99,275,224
7796: 7954,7876,7713,7631,7548,7877
66: 386,387,334,446
8150: 7911,8225,8227
68: 9732,42,9850
9855: 6712
5350: 5551,5849,5552,9968,5348
5893: 5894,5793
5611: 5512,5710
73: 9416,9345,283,390,339
8144: 8143,8065,8066,8219,8221,8145
8175: 9842,9683,8096,8097
4677: 4778
77: 9826,9945,115
7178: 9603,7091,9301
79: 309,206,118
6658: 
81: 9547,46
5286: 5387,5186,5185,5285,5287
9765: 1576,9677
4637: 4638,4839,4737,4838
8120: 8119,8042,8121,8616,8343,8197
6244: 6147,6436,6337,6437,6246
87: 123,3,51,53
7207: 7117,7118,7208,7296
6403: 6307,6499
8523: 8453,8452,8524,8589,8591,8590
91: 57
9922: 9876,9955,9814,9897,9921
93: 133,175
9617: 8661,8592,9448,9938,9334
95: 33
9880: 7434,7608,10031,9977,10009,10012
6741: 6835,6647
5828: 5632
99: 64,275,499,9706,382
100: 1133,1057,37,181,980,1373
