795: 54,700,351,444,608,71
826: 771,117,626,66,772,873
396: 334,445,371,452
813: 154,772,743,884,873
744: 502,890
815: 180,345,805,625,453,869
722: 383,773,747,222,891,808
759: 705,627,856,157,789,731,512
868: 412,793
766: 293,291,276,728,340,460
618: 
596: 650,320,749,790,657,817
408: 749,343,730,320
888: 160,763,770,179,645
805: 815,180,745,625,199,106
605: 446,889,892,349,357
840: 355,344,231,564,867,814
487: 614,176,698,721,809,834
411: 399,437,832,891,239
19: 316,525,62,558,806
860: 662,65,64,558,806
21: 870,626,859,367,64,98
875: 391,91,878
23: 409,379,413,375,37
461: 436,681,319,412
25: 853,368,880,54
856: 705,759,627,585,873,176
457: 318,397,441,322
417: 448,418,450,325,374
877: 169,769,768,204,677,446,892
426: 329,348,685,433
880: 370,342,368,25,54,700
449: 372,393,767,405,538
686: 43,444,397,351,459
836: 768
638: 781
685: 748,426,348,398,858
37: 713,422,23,409,375,333
696: 79,858,833,662,95,546
558: 860,662,806,62,19,79
806: 860,558,316,19,367,859
771: 827,117,826,542,756,66,764
828: 185,346,337,790,876,336
43: 686,444,402,459,424,428
879: 95,546,804
698: 614,176,487,627,559,695
793: 799,751,868
410: 460
660: 775,400,395
872: 681,453,456,393,869
50: 713,66,409,870,626
841: 874,857,614,559,862,846
52: 587,333,370,700,71
679: 832,881,388,819,353
54: 795,700,351,25,853,880
492: 798,886,205,65,546,804
627: 759,856,176,698,512,695
869: 384,393,815,180,453,872
58: 381,315,91,335,491
406: 458,420,323,413
803: 862,846,885,668,390,365
61: 398,62,374,418,348,525
62: 398,61,19,525,79,558
790: 657,596,817,346,828
64: 860,65,21,886,98
65: 860,662,64,546,492,886
66: 756,50,626,771,826
867: 250,564,668,840,344
775: 660,708,672
400: 358,404,427,395,660
435: 453,456,315,345,419
71: 608,142,795,700,52,587
814: 600,624,231,840,355,801
677: 769,892,877
446: 359,605,892,762,877,373
645: 655,218,356,888,199,770,179
421: 293,792,438,423
792: 293,291,361,454,421
78: 95,483,804,204,774,149
79: 858,696,398,62,662,558
891: 832,808,411,239,722,773,222
626: 21,66,50,98,772,826
432: 329,334,433
425: 401,448,778
655: 356,645,179
864: 349,452,851,866,769
886: 798,492,65,64,98,154
546: 95,879,804,696,662,65,492
88: 89,428,608,142,162,882
89: 424,745,428,88,106,882
395: 427,403,400,660,317
91: 391,875,878,58,381
600: 814,624,737,275,300,801
458: 406,369,392,429,379,413
798: 492,886,205,154,675,884
95: 879,78,546,483,804,696,833
748: 685,866,855,858,833
420: 323,362,406
98: 154,772,64,626,21,886
429: 392,369,339,458
863: 502,829
405: 440,451,364,449,372
859: 21,367,806
491: 820,335,387,625,58,315,345
874: 841,857,179,160,614,721
440: 324,451,405,540,356
106: 199,770,882,89,745,805
624: 814,600,227,789,231,737
731: 789,512,759
737: 565,499,275,227,600,624
614: 698,487,721,841,874,559
453: 435,456,815,345,869,872
525: 19,327,418,707,61,62
424: 89,745,428,43,402,387
483: 95,78,833,768,204
681: 872,319,456,393,538,461
691: 809,861,486,587,120,581
117: 771,827,826,585,873
865: 712
751: 793
