957: 910,1032,1005,985,1020,961,1017
992: 984,952,421,460
396: 371,433,357
919: 
913: 399,987,881,848,314,499,239
912: 
1013: 1033,1032,763,967,449,384
360: 1021,1023,376,354,907,454
966: 1036,778
357: 396,983
618: 975
933: 581,486,333,809,985,1020
408: 993,343,983,445
1037: 1012,1031,614,1004,1027
805: 745,948,625,315,363
1028: 326,626,870,585,117
1009: 447,922
985: 809,861,1020,961,333,933,957
411: 437,928,353,399,832
984: 992,797,340,341,952,421
860: 367,886,79,895,205,804
950: 817,995,730,185
875: 
986: 361,974,454,1023,942
461: 443,364,372,319
910: 1032,1005,957
980: 763,882,387,424,402,1033
457: 988,397,853,54,441
417: 327,895,450,418,389
877: 373,446,892,842,349,371
426: 962,334,432,332,1029
932: 1038
449: 393,384,1013,967,721
686: 313,459,1018,897
389: 323,401,425,327,417
366: 416,365,434,410,438
946: 1038,975
371: 349,396,343,433,892,877
909: 422,614,409,1031,979
969: 1012,999,972,973,964,982
929: 54,852,322
362: 323,401,415,406,385,413
934: 
1021: 360,1023,907,263,797,341
393: 453,449,436,380
1005: 1033,910,1032,957,120,424,1020
793: 799
410: 462,434,366,438
916: 499,383,239,350,1019
902: 998,227,512,905,990,355
50: 342,375,379,409,422
841: 324,803,857,973,846,982
983: 445,357,408
995: 817,960,320,730,950
54: 929,322,853,457,988
999: 1012,1031,979,969,972,827
1001: 1003,996,1025,712
869: 345,1016,453
982: 973,1012,969,1004,857,841
406: 415,420,362,342,379,413
803: 324,841,846,365,416,885
368: 988,431,927,994
62: 386
1029: 332,348,962,426,1022
960: 817,995
349: 371,343,877,446,993,359
354: 395,376,403,907,300,360
1003: 1001,996,712
775: 944
400: 624,330,427,358,395,403
435: 315
345: 869,456,948,1016,419
979: 999,1031,409,909,827,117
895: 327,417,418,79,367,860
446: 373,877,349,1024,848,359
347: 434,668,439,390,430,462
421: 423,992,984,797,291,974
951: 176,705,585,154,626,1026
948: 805,745,1016,363,345,419
79: 418,938,895,804,398,860
1011: 842,921,1022,774,398,1000
626: 414,870,1028,951,585,154
432: 426,332
425: 448,407,389
893: 330,565,914,499,383
997: 847,832,157
886: 935,367,860,205,798,353
361: 291,986,977
88: 608,424,428,402,352
350: 644,811,916,239,328,1019
395: 376,403,354,400,377
359: 848,314,337,349,446,993
363: 794,805,948,419
458: 431,442,429,339,420
798: 928,976,901,353,1026,935,886,154
911: 967,721,1017,874,356,405
1032: 1033,910,1013,1005,957,1017,967
420: 415,406,458,429,342
952: 923,992,984,340
429: 431,370,458,420,342,375
963: 128
405: 440,372,436,721,911,356
382: 455,1019,328,447
1019: 382,455,350,916,383,328
874: 1004,1017,1027,961,911,857,356
440: 372,405,324,356,885
364: 443,461,885,451
624: 990,400,355,427,737,403
388: 437,1000,205,774,353
737: 321,439,624,355,403,300
614: 909,422,861,1031,1037,1027
453: 393,384,1016,869,456
920: 608,120,581,1035
424: 88,608,120,402,1033,1005,980
1010: 351,318
355: 624,990,902,905,321,737
379: 326,413,409,406,50
117: 827,326,1028,409,979
865: 996
994: 392,927,368,431,370
120: 608,424,920,581,1020,1005
443: 364,461,412
454: 317,376,360,1023,942,986
460: 992,923
990: 624,355,902,227,427
409: 326,379,50,909,422,117,979
433: 204,892,371,396
1018: 318,897,686
128: 963
918: 392,444,1035
809: 985,1020,933
404: 377,358,394,773
811: 644,350,314,337,338,239
437: 388,1024,411,373,399
794: 363,419
901: 798,928,1026
967: 721,911,1032,1013,1017,449
367: 935,886,860,327,895,316
862: 973,846,964,344,390,668
944: 775
381: 625,315,391,335
668: 365,347,434,862,846,390
977: 291,361,423
846: 973,862,803,841,365,668
1016: 745,948,941,453,869,345
802: 1008,832,914
380: 378,393,456
827: 695,972,117,585,999,979
848: 314,359,446,1024,913
981: 905,344,695,972,512,964
705: 176,951,157,1026,847,998
413: 326,379,362,406,385,870
412: 202,319,443
1031: 1012,999,979,1037,909,614
154: 951,935,414,626,798,1026
456: 345,453,380
387: 763,882,941,980,335,625,745
157: 928,1026,705,847,832,997
1026: 798,157,928,901,705,951,154
385: 414,870,316,323,362,413
996: 1001,1003,1025,865
907: 300,430,263,354,360,1021
162: 581,486,1035,370,392
773: 455,404,447,922
372: 440,436,405,378,461
434: 365,347,668,366,462,410
494: 
451: 416,364
1008: 802,847,832,914,227,565
356: 324,857,874,911,440,405
365: 434,668,846,803,416,366
842: 1011,892,921,373,877,1000
1022: 1011,921,348,1029,398
608: 88,120,424,920,444,428,581,1035
625: 381,315,335,387,805,745
712: 1001,1003
176: 705,951,585,695,998,512
383: 499,916,893,455,1019,394
921: 1011,892,842,1022,204
348: 332,1029,329,938,1022,398
346: 338,993,337,320
431: 442,370,458,429,368,994
445: 983,408,320
370: 431,429,994,375,486,162
402: 335,352,88,424,980
185: 730,950
1000: 388,1011,842,774,373
391: 313,335,352,381
922: 773,1009
398: 804,774,348,79,938,1011,1022
422: 909,614,50,333,409,861
797: 984,341,1021,1023,974,421
486: 581,162,933,370,375,333
987: 913,499,239
1036: 966,778
419: 948,794,363,345
436: 372,405,721,393,378
414: 385,626,870,316,935,154
885: 416,324,803,440,364
942: 454,986
935: 367,886,414,316,798,154
861: 985,961,333,422,614
202: 412
378: 380,372,436,319
204: 433,452,962,892,921
205: 804,774,886,860,388,353
847: 1008,997,157,705,998,227
1038: 946,932,975
1027: 1004,874,614,961,1037
353: 798,928,976,205,886,388,411
881: 399,913,832,914,499
358: 377,404,394,330,400
851: 
403: 395,354,624,400,737,300
938: 418,79,329,348,398
988: 457,397,54,368,927
407: 425,369,401
416: 366,885,451,803,365
927: 392,994,368,988,397,351
695: 972,827,176,585,512,981
799: 793
444: 428,351,392,918,1035,608
897: 1018,686
375: 342,50,333,370,429,486
923: 952,460
373: 877,446,842,437,1024,1000
418: 79,938,374,450,417,895
227: 902,998,847,1008,990
442: 431,458,339
447: 1009,773,382
585: 176,951,626,1028,695,827
972: 695,827,999,969,981,964
914: 802,1008,832,881,499,893,565
730: 995,320,950,185
804: 205,774,398,79,860
423: 421,291,977
941: 763,387,745,1016,384
462: 410,347,434,430,263
778: 966,1036
239: 499,916,314,987,913,350,811
430: 907,300,263,439,347,462
369: 339,407,415
394: 358,404,383,330,455
928: 798,157,976,901,353,1026,411
745: 805,948,1016,625,941,387
1004: 1027,874,1012,1037,982,857
497: 
452: 204,962,334,768
998: 902,227,512,176,705,847
376: 395,354,317,454,360
993: 408,349,343,359,337,346
768: 962,334,452
459: 313,686
439: 321,737,390,347,300,430
721: 967,911,449,436,405
961: 861,985,957,1017,1027,874
763: 882,941,387,980,1033,1013,384
1030: 
390: 321,439,344,862,347,668
1025: 1001,996
644: 350,811,338,336,328
964: 973,862,972,969,344,981
962: 334,768,426,1029,204,452
263: 907,430,462,1021,341
817: 995,960,950
1017: 874,961,1032,957,967,911
882: 763,387,980
499: 916,383,239,987,913,881,914,893
428: 444,313,88,608,352
878: 
448: 450,325,425
581: 486,162,1035,933,608,120,920,1020
781: 971
466: 1034
374: 329,450,325,418
924: 
352: 402,335,428,313,391,88
1024: 437,373,446,848,399
384: 453,449,1013,763,941
415: 406,420,369,401,362
392: 927,994,918,444,351,162,1035
386: 62
853: 54,457
1035: 581,162,392,918,444,608,920
351: 1010,444,397,318,392,927
565: 893,330,427,1008,914
870: 385,414,626,326,1028,413
438: 366,410
832: 802,1008,997,914,411,157,881
450: 448,325,374,418,417
401: 323,362,389,407,415
291: 361,974,423,421,977
399: 913,881,437,1024,411
1012: 999,1031,1037,969,1004,982
