957: 861,1086,1005,449,1032
992: 923,340
396: 371,877
343: 445,371,408,357,346
913: 1008,499,881,1057,314,239
377: 1092,395,376,404,317
1054: 79,1051,1080,332,329,804
360: 907,454,317,300,354,263
966: 1079
357: 343
618: 975
324: 440,461,857,443,319
408: 446,371,343,359,346
1037: 1004,356,1096,1031,999,1012,982
805: 456,1071,419,941
315: 1055,459
329: 374,386,332,1054,1051,418
323: 327,316,385,389,1056,1070
411: 399,832,437,798,928,227
313: 428,1083,352,391,459
1071: 805,456,763,387,453
441: 351,444,927,392
875: 
1095: 205,1073,938,398,1000
461: 440,324,372,721,436,319
1045: 793
1060: 405,1099,614,1086,1004,1027
457: 927,988,322
417: 418,895,448,450,327,389
877: 842,433,373,396,349
426: 334,432,1080,938,205
1073: 1095,205,804,1094,1074,1000
449: 957,384,1032,911,1099,393
686: 
389: 385,425,417,448,327,323
366: 462,354,434,668,451
336: 331,445,320,338
371: 396,349,408,343
909: 1096,1046,614,422,409,1031
1088: 486,370,351,1091,581,424
332: 432,1080,329,1054
362: 326,413,401,415,406,379
1081: 300,376,439,390,430,395
1021: 423,907,341,421
393: 453,380,721,449,384,911
1005: 957,1032
793: 1045
410: 263,341,451,438
1085: 974
318: 88,1035,608,1083
50: 342,1046,429,431,422,375
841: 1012,857,982,434,668,1093
1094: 804,1073,79,1074,886
314: 338,811,239,337,1057,913
54: 1098
999: 1087,979,1031,1037,982
1001: 1003,1025,712
341: 263,410,907,1021,421
982: 1012,841,1037,999,964,434
406: 342,1046,415,362,409,379
803: 443,364,1078,1093,365
368: 429,431,392,927,458
1098: 54
1029: 348,962,921,1022
1074: 373,1000,1058,1073,1094,388,886
349: 371,877,373,1058,446
354: 462,366,300,360,263
1003: 1001,712
775: 944
400: 624,330,565,1092,394,404
435: 387,335,1055
345: 378
979: 409,379,1031,827,999,1087
895: 418,417,1051,367,327,1059
446: 408,1068,1024,1058,349,359
347: 1087,964,1077,430,462,434
421: 460,341,1021,340
1092: 395,377,403,624,400,404
1083: 313,88,352,318
79: 1054,1051,804,1094,886,367
321: 439,905,403,1047,355,344
1056: 414,176,316,323,512,1070
432: 334,426,1080,332
425: 385,389,448,407,369
893: 383,1097,455,394,328
328: 1019,382,893
886: 388,1049,367,1094,79,1074
361: 454,317,447,423
88: 1091,1035,352,318,1083,581
350: 644,382,811,239,383
395: 1092,377,439,403,1081,376
359: 1090,346,408,1068,446
363: 387,419
458: 339,442,322,368,429,420
798: 437,353,935,414,928,411
911: 405,372,1099,449,393,721
1032: 384,1033,1089,957,1005,449
420: 415,369,339,458,429,342
1051: 79,1054,329,418,895,367
429: 368,431,458,420,50,342
1059: 327,316,895,1049,367,935
405: 372,911,1099,1060,1004,356
382: 350,383,328
1019: 328
1099: 405,911,1060,1086,449
440: 324,461,356,372,1012,857
364: 443,416,803,365
624: 330,400,355,403,1092
388: 886,1049,1074,1058,1024,353
1058: 1074,373,388,349,446,1024
614: 333,422,1086,1004,1027,1096,909,1060
453: 380,393,763,384,1071
344: 390,972,1047,981,439,321
424: 402,581,1088,486,861
974: 1085
355: 998,321,905,403,624
379: 409,979,827,406,326,362
117: 1047,512,1070,1066,981,413
865: 
1082: 202
330: 624,400,565,427,1008
443: 364,319,416,803,324,1093
454: 907,317,360,361,423
460: 421,340
1087: 999,347,979,827,1077
409: 979,379,1031,1046,406,909
433: 842,877,452
319: 443,416,324,461,378
128: 1048
339: 458,442,407,369,420
1057: 337,1090,314,913,881
404: 358,400,1092,377
811: 314,338,239,331,644,350
437: 353,798,1068,1024,399,411
317: 454,360,377,376,361
340: 992,460,421
1055: 625,315,381,459,335,435
367: 886,1049,79,1051,895,1059
1053: 1075
944: 775
381: 391,1089,459,625,1055,1033,335
668: 846,1078,1093,451,841,366,434
1075: 971,1053,1065
846: 668,1078,451
1016: 941
1072: 842,398,452
380: 453,393,721,456,436,412
827: 979,379,326,1077,972,1087
777: 
981: 326,413,117,1047,972,344
1065: 1075
413: 981,326,362,1066,401,117
412: 436,380,456
1031: 409,979,1037,1096,909,999
335: 387,435,381,1055,763,1033
456: 805,1071,380,412
387: 335,435,363,763,1071
320: 445,337,346,336,338
1070: 117,512,323,385,1066,1056
385: 425,389,1066,323,1070
333: 614,422,375,486,861,1086
907: 454,360,263,341,1021
971: 1075
1090: 337,359,399,1057
372: 405,911,356,721,440,461
434: 462,366,964,347,841,982,668
334: 426,432
451: 668,846,1078,366,410
1008: 913,499,881,330,565,1097
356: 1004,1037,405,372,1012,440
365: 438,1078,364,803
842: 877,433,1072,398,373,1000
1022: 398,452,1029,348,921
608: 397,1035,318
625: 1055,381,459
712: 1001,1003
176: 414,928,1056,512,998,905
383: 1097,893,239,499,350,382
921: 962,1029,1022,452
348: 1029,1022,938
346: 337,359,408,343,320
431: 368,429,392,370,50,375
445: 343,320,336
370: 1088,486,351,431,392,375
402: 581,424,352,391,1089
185: 
1000: 1074,373,398,1095,1073,842
391: 381,1089,459,352,313,402
1049: 388,886,367,935,1059,353
398: 1022,452,1095,842,1072,1000
422: 614,333,375,50,1046,909
1096: 1004,1037,909,614,1031
486: 1088,370,424,333,375,861
1046: 50,342,406,422,409,909
397: 608,444,1035
419: 363,805
436: 412,378,380,721,461
414: 176,928,1056,935,316,798
1077: 390,972,430,827,1087,347
1086: 861,957,614,333,1099,1060
935: 1049,1059,316,353,798,414
861: 957,1086,486,424,333
202: 1082
378: 436,319,345
1079: 966
205: 1095,804,1073,426,1080,938
1091: 88,1035,351,444,1088,581
1038: 975
1027: 1004,614,1060
353: 437,798,388,1049,935,1024
881: 1008,913,832,1057,427
358: 404,447
327: 1059,316,323,417,895,389
403: 321,355,624,1092,395
938: 348,426,1095,205
988: 1052,457
407: 448,325,339,425
416: 443,364,319
927: 457,322,441,368,392
1068: 446,1024,437,359,399
1080: 426,432,332,205,804,1054
444: 351,441,397,1091,1035
338: 314,811,320,337,336,331
375: 333,422,431,486,370,50
923: 992
373: 1074,1000,1058,842,877,349
418: 417,895,374,329,1051,450
227: 427,998,928,832,411
442: 339,458,322
447: 361,358
322: 927,457,458,442
972: 390,1077,344,981,326,827
316: 327,1059,323,935,414,1056
730: 
804: 205,1073,1094,1080,79,1054
423: 1021,361,454
941: 1016,805
462: 354,366,434,430,347,300
1066: 385,401,117,1070,413
239: 314,811,913,499,350,383
430: 390,1077,347,1081,300,462
369: 401,415,420,339,425
394: 455,400,565,1097,893
928: 414,176,798,411,227,998
1093: 668,1078,841,857,443,803
1004: 356,1027,1037,1096,614,405,1060
497: 
452: 1022,398,921,433,1072
998: 227,355,176,928,905
376: 1081,300,395,377,317
1067: 644
975: 1038,618
459: 391,381,313,625,315,1055
439: 321,390,344,395,1081
721: 380,393,372,911,461,436
1097: 383,893,1008,499,565,394
763: 384,1033,387,335,453,1071
1047: 117,512,981,321,905,344
390: 1077,972,430,344,439,1081
1025: 1001
644: 350,331,811,1067
964: 347,982,434
962: 921,1029
263: 341,410,354,907,360
817: 
325: 448,407,450
342: 50,1046,406,429,415,420
499: 1008,913,239,383,1097
428: 313
1078: 668,846,1093,451,803,365
448: 325,407,450,417,425,389
581: 402,424,88,1091,352,1088
1089: 391,381,402,1033,1032
466: 
374: 386,329,418,450
924: 
352: 88,313,1083,402,581,391
1024: 1068,446,1058,388,437,353
384: 763,1033,1032,449,453,393
415: 401,369,420,342,406,362
392: 368,431,927,351,441,370
386: 374,329
853: 
1035: 88,1091,318,397,608,444
351: 444,441,1091,392,1088,370
565: 330,400,1008,1097,394
1052: 988
438: 365,410
832: 399,411,227,427,881
450: 448,325,374,418,417
401: 415,369,1066,413,362
331: 336,338,811,644
399: 832,411,1068,437,1090
1012: 841,857,982,356,1037,440
857: 1012,841,440,324,1093
512: 117,1047,1070,176,1056,905
337: 1090,346,320,1057,314,338
1033: 763,384,1032,381,1089,335
905: 321,176,1047,512,998,355
455: 394,893
300: 1081,376,430,462,354,360
326: 981,413,362,379,827,972
1048: 128
427: 227,832,881,330
