14621: 13331
28593: 
13143: 15231,13058,13990,13991,15246
14985: 14839,14155,14843,13396,14606,14585
12849: 14642,13906,13945,14232,14653,13951
14615: 14403,14483,14133,13086
14328: 14636,14874,12985,14524,12878,14138
15299: 14243,15282,13130,13367,14826,12938
15380: 14651,12929,13609,13890,15134,15008
15145: 14053,13401,15225,12957
13511: 13030,13188,14024,13033,15104
13765: 14202,13443,13209,15486,15427
14273: 13391,13012,15229,14838,14752,13591
15510: 14149
14172: 
15340: 15351,15797,13595,13500,15535
13959: 12966,14564,14734,15326,15300,13862
14722: 15461,12930
15448: 13791
13438: 14860,13364,13934
14250: 15162,14998,14062,12999
13724: 14339,13261,13751,14033,14118
13533: 13876,14954,13272,15776,14560,14723
12829: 15399,15760,14882,14431,13328,14214
12939: 
12855: 14729,15514,14705,14777,14641,15555
14343: 15305,13237,15244,13400
13151: 13489,14664,13418
13942: 12896,12866,15001,13182,15688
15785: 
13420: 12864,13449,15409,13226
13886: 
14390: 13763,14418,15016,14671
14436: 15522,13870,14563
13061: 
14824: 12821,14727,13701,13169,13968,14678
15666: 13029,13112
13488: 13850,13804,13471,14552
14556: 14206,13317,14664,14048
14112: 13786,14698,13216,14045
13025: 13281,13787,13555
13894: 13992,13868,15475,28665,15259,12818,15529
13263: 12998,14622,15455,13280,15795
12840: 15536,14710,14803,12932,15028
14405: 
14881: 13845,13790,14018,14359,13493,13766
15804: 13494,12838,14616
13753: 12984,12922,14572,15615,13171,13638
14598: 13839,12989
15338: 14747,13929,15738
14998: 15739,14250,14773
14252: 14192,13915,15146,14977
14488: 15054,13602,14862,14493,14067,15444,13646
15372: 15770,13650,14450,15503,14644,15270
15484: 13642,13313,13690,13453,13700
15779: 13297,15780,15394,12879,13306
14108: 14614,13774,15277,15188
13302: 15048,13204,14272,14538
15116: 15189,14831,12960
14833: 15467,15086
15737: 14480,12898,13525,14180
15482: 13840
12958: 15645,15567,14021
15178: 15689,14176,15293,13336,15294
15254: 14734,13484,13571,15008,14804,14564
13948: 
14438: 14414,13954,13699,14795,13149,15003
14923: 14190,13612
15373: 15147,14713,14499,13465,14878
14809: 15502,13200
14802: 14913,13964,14380,14995
13070: 13150,14462,14539,13987,15095
15519: 14585,14078,14795,14606,14251,14980
15363: 14174,14860
15792: 13839,12989,15441
14683: 
14079: 13529,13244,14158,13783,13323
15791: 15515,12956
14024: 13300,12875,14492,13188,13511
15721: 13630,15598,14552,13877
12911: 14319,13506,13442,14074,15693,15269,15129
15760: 15399,12829,13218,13655,13360,14431
15698: 
14920: 14377,15794,13130,14404,13958,14243
14650: 14704,14798,15173,13178,14117,14619
15002: 15438,15593,15442,14318,14996,13900
15244: 13400,14343,14013
14178: 13679,15559
15730: 14847,14887,13468,14240,13098,14807
15150: 15101,15422,13317
14893: 14971,14009,13022,13536,14194,15548
15332: 13058,13990,13635,14396,13089,15374
15296: 13340,14148,13365,15403,13455
13814: 
14323: 13024,13032,14718,14841,15267,13431
14369: 13916,14883,14827,14209,13503,14593
14361: 13132,14646,15379,14762
15293: 14537,14489,14235,15178,14176,15294
13301: 14852,14689,14785,14626,13198,14340
14921: 13820,14818,15166,14559,13002,14730
15092: 13749,15459,14383,14703,14491,14417
15201: 14743,13044,12854
13808: 14466
14929: 12942,12991,13034,15691,14851,15635
14999: 14555,13929
15024: 14605,13081,15180,15017,12973,15249
12932: 13053,15218,14710,12840,13141,13523
13297: 15780,13827,15779,15357
15745: 14043,14279,15213,15152
14391: 13384,13175,13277
15688: 14719,13883,13942,13182,12993
13010: 13351,15488,12901,14056,15705
14186: 13584,15687
15403: 13455,14424,15296,12967,15342
14808: 13369,13843,13885,14075,14348,13982
13553: 13732,12828,13906,14653
14742: 13662,14772,15353,12870
14585: 14078,15519,14839,14985,14606
15343: 13639,15420,14006,14717,15112,15802
