957: 1182,1214,1086,335
1241: 460,1173,454
396: 371,433,1177,1268
343: 1068,357,1246
913: 811,1202
377: 328,326,344
1230: 449,1186,1112,1088,1175
360: 415,361,362,972,369,317
1196: 1266,1252,1214
357: 343,346,445,338
1113: 1148
324: 416,1201,340
408: 1244,446,1246,877,1068
1037: 378,1249,319,410,434
300: 438,460,1173,354,366
315: 1088,431,381
329: 1106,367,1227,332,1110,432
323: 1134,385,316,798,414,1135
411: 399,1269,321,439,1115,1253
313: 351,457,325,1181,374
1148: 1113
441: 322,428,401,424,392,368
1201: 366,354,434,324,340
1124: 1197
461: 436,393,372,419,456
1251: 365,340,1222
401: 441,429,362,368,369
457: 313,444,386
417: 1146,353,327,450,389,425
877: 1246,1244,408
426: 1221,205,1167,334,1106
1073: 1257,1100
449: 1230,459,402,370
1175: 1210,459,1186,1230
389: 448,1146,417,425,407
366: 1201,354,300,451
336: 1260,338
371: 1258,433,396,1136,448,1268
1254: 1179,1162,334,367,388,1189
1088: 1112,1230,315
332: 1110,1181,329,432,325
362: 429,420,401,369,415,360
1208: 1198
1179: 1162,1000,1254,1167,1152,334
393: 405,372,1217,1099,461,436
1106: 367,329,426,804,1227
1186: 1112,1175,1230
410: 354,434,430,462,1173,1037
1244: 408,877
318: 1168,386,413,351,397
50: 342,1209,1220,422,1255,384
841: 1093,1222
1257: 1073,1100,1160,1152,1267,1000
314: 1090,1262
1220: 50,1209,1099,384,1046,405
1269: 399,1149,411,1168,413,321
1267: 348,1074,1257,1100,1000
341: 423,447
1242: 1233,1255,375,429,368,342
406: 1046,409,420,1209,415,379
803: 
368: 429,424,1233,1242,441,401
1210: 1175,459
1253: 1115,337,359,399,411,445
1074: 348,1267,1154,1162,1000,1231
349: 452,1136,398,1146,1271
354: 410,434,1173,300,366,1201
1181: 332,1110,374,313,325
1252: 1086,1196,1214
400: 928,1256,427,350,382,383
435: 1217,1099,384,387
345: 319,1096,440,378,380
1115: 998,1253,411,439,403
1193: 1164,1022
446: 798,437,1177,408
347: 319,1096,379,409,1077,462
421: 454,447,972,317
1231: 353,1074,1154,1162,388,327
1152: 1167,1160,1265,1257,1179,1000
1134: 385,323,386,414,1149
321: 981,439,413,442,411,1269
1225: 1142,1140,1247,1270
432: 352,329,1227,1234,332
425: 444,417,450,389,407
1202: 811,1262,913
328: 377,395,404
326: 458,981,377
361: 415,379,360,317,1077
88: 1266
350: 905,355,1256,400,382
395: 344,403,439,328,355,404
359: 414,1135,399,346,445,1253
363: 1102
458: 391,442,981,326
798: 446,437,316,1177,323,1135
450: 327,418,417,425,374
905: 355,350,404,394,358
420: 429,362,342,1209,415,406
1051: 804,1227,1234
429: 362,420,368,1242,401,342
1217: 435,1099,387,1102,393,436
405: 393,372,1220,1099,1046,356
382: 400,350,358
1140: 1235,1263,1225,1247
1099: 435,1217,384,1220,405,393
440: 419,356,372,1096,345
364: 380,443
1271: 1146,353,373,349
388: 327,418,1189,1162,1254,1231
1219: 1228
1249: 378,1037,434,443
453: 335,422
344: 395,981,439,377
424: 402,392,370,1233,441,368
974: 
355: 905,350,404,395,403,1256
379: 415,361,406,409,347
1255: 333,422,375,1242,50,342
865: 
1167: 1265,1152,205,426,1179,334
330: 427,1260,1090,1057,383
443: 416,1249,364
454: 421,430,1241
460: 1241,1173,300,438
1197: 1124
409: 406,1046,356,379,1096,347
433: 371,1258,396,842,921
319: 1096,345,347,462,378,1037
128: 1239,1259
339: 
1057: 1090,1262,331,330,1123,383
404: 905,355,395,328
